t_rel_s,d2
29.5542,69
29.5837,68
29.5941,68
29.6297,66
29.6342,65
29.6633,65
29.6837,65
29.7095,63
29.7235,62
29.7494,62
29.7634,60
29.7742,59
29.8035,57
29.8140,56
29.8434,54
29.8565,52
29.8836,51
29.9036,48
29.9141,46
29.9434,43
29.9540,42
29.9837,40
29.9941,37
30.0295,36
30.0340,34
30.0694,31
30.0838,31
30.0942,26
30.1142,25
30.1432,23
30.1540,22
30.1837,20
30.2036,17
30.2125,15
30.2341,12
30.2541,9
30.2837,8
30.2939,5
30.3297,3
30.3341,2
30.3632,0
30.3833,0
30.4093,0
30.4236,0
30.4342,0
30.4634,0
30.4740,0
30.5059,0
30.5139,0
30.5433,0
30.5564,0
30.5741,0
30.6034,0
30.6140,0
30.6433,0
30.6541,0
30.6836,0
30.6940,0
30.7297,0
30.7342,0
30.7694,0
30.7836,0
30.7940,0
30.8234,0
30.8339,0
30.8633,0
30.8837,0
30.9058,0
30.9235,0
30.9495,0
30.9634,0
30.9739,0
31.0035,0
31.0141,0
31.0434,0
31.0539,0
31.0836,0
31.1035,0
31.1141,0
31.1339,0
31.1540,0
31.1837,0
31.1941,0
31.2297,0
31.2340,0
31.2695,0
31.2835,0
31.3096,0
31.3236,0
31.3340,0
31.3630,0
31.3735,0
31.4058,0
31.4236,0
31.4432,0
31.4564,0
31.4740,0
31.5036,0
31.5139,0
31.5432,0
31.5540,0
31.5835,0
31.5939,0
31.6297,0
31.6341,0
31.6541,0
31.6835,0
31.6939,0
31.7298,0
31.7338,0
31.7632,0
31.7836,0
31.8097,0
31.8234,0
31.8495,0
31.8633,0
31.8741,0
31.9034,0
31.9139,0
31.9433,0
31.9565,0
31.9835,0
32.0034,0
32.0140,0
32.0338,0
32.0539,0
32.0837,0
32.0941,0
32.1235,0
32.1496,0
32.1563,0
32.1739,0
32.2035,0
32.2140,0
32.2431,0
32.2540,0
32.2836,0
32.3035,0
32.3297,0
32.3339,0
32.3540,0
32.3835,0
32.3933,0
32.4299,0
32.4335,0
32.4631,0
32.4835,0
32.5095,0
32.5235,0
32.5340,0
32.5632,0
32.5740,0
32.6059,0
32.6139,0
32.6432,0
32.6565,0
32.6740,0
32.7033,0
32.7139,0
32.7432,0
32.7541,0
32.7835,0
32.7940,0
32.8300,0
32.8340,0
32.8695,0
32.8835,0
32.8939,0
32.9233,0
32.9338,0
32.9632,0
32.9836,0
33.0058,0
33.0233,0
33.0496,0
33.0633,0
33.0738,0
33.1034,0
33.1140,0
33.1433,0
33.1539,0
33.1835,0
33.2035,0
33.2140,0
33.2338,0
33.2542,0
33.2838,0
33.2942,0
33.3301,0
33.3340,0
33.3696,0
33.3831,0
33.4096,0
33.4234,0
33.4339,0
33.4631,0
33.4740,0
33.5059,0
33.5234,0
33.5431,0
33.5564,0
33.5739,0
33.6035,0
33.6138,0
33.6432,0
33.6540,0
33.6834,0
33.6939,0
33.7298,0
33.7339,0
33.7540,0
33.7834,0
33.7939,0
33.8299,0
33.8338,0
33.8631,0
33.8835,0
33.9097,0
33.9232,0
33.9496,0
33.9632,0
33.9741,0
34.0033,0
34.0140,0
34.0432,0
34.0565,0
34.0834,0
34.0958,0
34.1233,0
34.1338,0
34.1632,0
34.1739,0
34.2058,0
34.2233,0
34.2497,0
34.2563,0
34.2743,0
34.3034,0
34.3136,0
34.3430,0
34.3540,0
34.3835,0
34.4035,0
34.4298,0
34.4338,0
34.4539,0
34.4833,0
34.4937,0
34.5299,0
34.5339,0
34.5630,0
34.5834,0
34.6097,0
34.6233,0
34.6327,0
34.6631,0
34.6740,0
34.7059,0
34.7139,0
34.7431,0
34.7564,0
34.7738,0
34.8032,0
34.8138,0
34.8431,0
34.8541,0
34.8834,0
34.8940,0
34.9300,0
